car_type,fuel_type,car_rating,year_to_start,riders,car_id,model,target_class,year_to_work,target_reg
economy,petrol,4.8,2013,42269,P17494612l,Skoda Rapid,engine_overheat,2019,46.65071890960271
standart,petrol,4.32,2015,90014,N-1530212S,Renault Sandero,electro_bug,2016,34.37731194580758
economy,petrol,4.46,2015,82684,B-1154399t,Smart ForTwo,break_bug,2017,39.15716899025279
economy,petrol,3.78,2015,76163,y13744087j,Kia Rio X-line,another_bug,2021,108.53391339490867
economy,petrol,2.8,2014,68833,F12725233R,Smart ForFour,gear_stick,2021,41.62613706283285
economy,petrol,3.9,2015,78218,O41613818T,VW Polo VI,electro_bug,2021,35.19851657010178
economy,petrol,6.56,2013,42442,l-1139189J,Skoda Rapid,electro_bug,2021,36.92446320684431
standart,petrol,6.3,2012,23340,d-2109686j,Renault Sandero,gear_stick,2017,38.617318848203084
business,petrol,4.04,2011,1263,u29695600e,Mercedes-Benz GLC,engine_fuel,2020,30.343312529536647
standart,petrol,4.04,2014,59752,U75286923j,Nissan Qashqai,engine_overheat,2018,29.858905783584913
standart,petrol,4.38,2015,84497,T-7479831o,Renault Sandero,gear_stick,2015,25.90614564545421
standart,petrol,4.7,2012,26428,N-8915870N,Renault Sandero,engine_fuel,2017,30.451547191834617
economy,petrol,2.36,2013,42176,b12101843B,Skoda Rapid,engine_ignition,2018,50.92720342278962
economy,petrol,4.98,2015,73543,B-1369793u,Kia Rio X,gear_stick,2022,28.41666167765178
standart,petrol,5.32,2012,24611,Q-9368117S,Nissan Qashqai,engine_overheat,2014,54.78812502388806
premium,electro,3.9,2017,116872,O-2124190y,Tesla Model 3,gear_stick,2019,50.25930327180503
standart,petrol,3.5,2011,2670,Y-1289786X,Renault Kaptur,engine_check,2015,61.026164842061085
standart,petrol,4.34,2013,42630,C29045893T,Kia Sportage,gear_stick,2014,35.0203407921923
standart,petrol,3.5,2014,56384,h16895544p,Kia Sportage,gear_stick,2017,33.239084595654546
economy,petrol,4.56,2013,41309,K77009462l,Smart ForFour,gear_stick,2018,39.426884004517454
economy,petrol,2.14,2012,22590,s45684436W,VW Polo,engine_check,2018,50.60924043223949
economy,petrol,5.0,2011,919,E-7624014J,VW Polo VI,electro_bug,2017,31.353239347964184
economy,petrol,4.2,2015,75702,v-1730983R,Kia Rio,break_bug,2018,29.565407849403584
economy,petrol,3.78,2013,43187,I20727212Q,Hyundai Solaris,wheel_shake,2020,22.35170953502388
business,petrol,3.08,2013,39965,p48812438h,Mercedes-Benz GLC,engine_ignition,2017,72.12511784572443
economy,petrol,3.92,2015,73646,I49569137x,Kia Rio,engine_check,2018,57.38741365867091
economy,petrol,4.02,2016,104165,f20619972B,Skoda Rapid,engine_check,2019,54.644598543601404
economy,petrol,5.42,2017,117210,N18554472N,Smart Coupe,engine_check,2019,52.29890009298231
economy,petrol,5.64,2016,109471,O-2225875m,VW Tiguan,wheel_shake,2019,30.938121092028346
economy,petrol,5.16,2014,58987,B11433908y,VW Tiguan,engine_fuel,2021,31.721384658460227
economy,petrol,3.54,2016,101495,K20059604P,Skoda Rapid,electro_bug,2016,33.74882754189675
economy,petrol,4.88,2012,21156,T-2633971l,VW Polo VI,engine_ignition,2015,50.682720907993634
economy,petrol,5.02,2016,108995,D10115495S,Smart ForTwo,gear_stick,2018,39.46539818730414
economy,petrol,5.08,2016,95935,s-2136281x,Smart ForTwo,engine_fuel,2014,36.870459256424944
economy,petrol,4.7,2013,41150,z72983842Y,Kia Rio X,gear_stick,2021,18.91842049361576
business,petrol,5.32,2011,1299,s-1094161i,Mercedes-Benz E200,engine_overheat,2019,45.48095218950419
standart,petrol,6.34,2014,71019,V-9683916q,Kia Sportage,engine_ignition,2018,65.23389167548547
economy,petrol,4.38,2015,87873,P68488505Z,Kia Rio X,wheel_shake,2020,34.87164870579817
standart,petrol,4.62,2013,40025,Z-1155909A,Nissan Qashqai,engine_overheat,2020,41.79399558170366
standart,petrol,4.52,2012,26060,W23907639f,Renault Sandero,another_bug,2016,65.66055090784364
economy,petrol,4.4,2011,2760,A22674788w,VW Polo,wheel_shake,2021,38.94900537898229
economy,petrol,4.54,2016,115037,Z-1196295K,Smart ForTwo,engine_overheat,2019,24.047408240280074
economy,petrol,4.8,2014,57459,y-1252277z,Skoda Rapid,engine_check,2020,60.326778077505594
economy,petrol,4.18,2015,87285,u21168983D,VW Polo,engine_fuel,2020,32.04318719159151
standart,petrol,5.34,2013,51207,i31421704Y,Renault Kaptur,engine_check,2017,42.961075460973554
business,petrol,3.84,2014,58789,t10463236f,Mini Cooper,engine_ignition,2022,62.44487418379061
standart,petrol,2.7,2014,60017,v13404305i,Kia Sportage,break_bug,2020,43.40853351061852
economy,petrol,2.96,2014,65703,m20203244V,Kia Rio,engine_overheat,2016,35.526315864121386
economy,petrol,3.9,2014,64084,x12753662A,VW Polo,engine_overheat,2020,32.07152138150677
standart,petrol,5.42,2012,20276,k-1015732Y,Nissan Qashqai,engine_overheat,2016,26.37898063854292
economy,petrol,4.9,2017,114576,m-8965256V,VW Tiguan,engine_ignition,2019,77.26375809829845
standart,petrol,4.4,2014,63903,v-7435255a,Renault Kaptur,engine_fuel,2018,46.56106590242987
standart,petrol,3.8,2011,3028,U13022243O,Renault Sandero,electro_bug,2021,34.814625754706604
economy,petrol,3.56,2015,92149,E12421362P,Smart ForTwo,engine_fuel,2020,32.7680689956518
economy,petrol,3.86,2014,58610,j12330862q,Hyundai Solaris,gear_stick,2017,31.506274523953685
standart,petrol,4.14,2012,20421,J35738918W,Renault Sandero,electro_bug,2019,34.650852841307334
economy,petrol,4.36,2013,47354,C-5320082T,Kia Rio X,electro_bug,2020,43.212820928500044
economy,petrol,3.18,2016,96361,s17672064L,Smart ForTwo,gear_stick,2020,27.370714796003366
standart,petrol,4.22,2011,5312,T16973122B,Renault Sandero,engine_overheat,2018,28.344113051468504
economy,petrol,2.78,2015,93180,d19359573S,Smart ForTwo,engine_overheat,2017,34.47888375185555
economy,petrol,2.52,2011,5500,O22361854N,VW Polo VI,engine_overheat,2018,37.11628831322231
economy,petrol,4.72,2015,87088,p-5671458M,Smart Coupe,engine_overheat,2017,26.12253120005184
economy,petrol,3.5,2015,83384,I68086031c,Smart Coupe,wheel_shake,2021,26.50405676575621
standart,petrol,3.48,2012,26419,D69722395r,Kia Sportage,engine_check,2021,52.97117409256511
economy,petrol,4.44,2015,75532,X10967418c,VW Tiguan,another_bug,2019,58.27477785725437
economy,petrol,4.88,2017,137213,i-1479300M,Skoda Rapid,another_bug,2019,85.5515345504328
economy,petrol,3.88,2012,25173,L60286103R,VW Polo VI,break_bug,2018,46.74006324497967
business,petrol,4.98,2015,87662,q-1489273f,Mercedes-Benz GLC,gear_stick,2019,39.11184721311148
economy,petrol,4.1,2013,40281,p26377723i,Hyundai Solaris,break_bug,2019,32.46443664286808
standart,petrol,5.58,2012,23136,C-1903701S,Kia Sportage,engine_check,2017,51.449894637689496
standart,petrol,5.4,2013,47719,W-1512641W,Renault Kaptur,engine_overheat,2018,26.214402910502436
standart,petrol,4.08,2011,6150,r11820515d,Kia Sportage,engine_check,2017,62.222909849598686
