car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class
y13744087j,Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,9492.96,another_bug
O41613818T,VW Polo VI,economy,petrol,3.9,2015,78218,2021,2656.23,electro_bug
d-2109686j,Renault Sandero,standart,petrol,6.3,2012,23340,2017,1526.11,gear_stick
u29695600e,Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,1338.0,engine_fuel
N-8915870N,Renault Sandero,standart,petrol,4.7,2012,26428,2017,825.72,engine_fuel
b12101843B,Skoda Rapid,economy,petrol,2.36,2013,42176,2018,5069.89,engine_ignition
Q-9368117S,Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,3528.55,engine_overheat
O-2124190y,Tesla Model 3,premium,electro,3.9,2017,116872,2019,24814.13,gear_stick
h16895544p,Kia Sportage,standart,petrol,3.5,2014,56384,2017,1851.93,gear_stick
K77009462l,Smart ForFour,economy,petrol,4.56,2013,41309,2018,4146.26,gear_stick
s45684436W,VW Polo,economy,petrol,2.14,2012,22590,2018,3725.06,engine_check
E-7624014J,VW Polo VI,economy,petrol,5.0,2011,919,2017,3278.12,electro_bug
I49569137x,Kia Rio,economy,petrol,3.92,2015,73646,2018,3224.24,engine_check
f20619972B,Skoda Rapid,economy,petrol,4.02,2016,104165,2019,4539.21,engine_check
N18554472N,Smart Coupe,economy,petrol,5.42,2017,117210,2019,4530.13,engine_check
O-2225875m,VW Tiguan,economy,petrol,5.64,2016,109471,2019,846.4,wheel_shake
B11433908y,VW Tiguan,economy,petrol,5.16,2014,58987,2021,470.6,engine_fuel
K20059604P,Skoda Rapid,economy,petrol,3.54,2016,101495,2016,2396.86,electro_bug
D10115495S,Smart ForTwo,economy,petrol,5.02,2016,108995,2018,4151.84,gear_stick
s-2136281x,Smart ForTwo,economy,petrol,5.08,2016,95935,2014,1204.19,engine_fuel
z72983842Y,Kia Rio X,economy,petrol,4.7,2013,41150,2021,441.95,gear_stick
s-1094161i,Mercedes-Benz E200,business,petrol,5.32,2011,1299,2019,4831.8,engine_overheat
