,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,work_type,destroy_degree,work_duration,car_id,worker_id,sex,fix_date
0,0,0,0,refuel,0.0,5,Z21640888N,GV,1,2020-6-20 2:13
1,1,1,1,reparking,0.0,11,J15244210Z,OD,1,2020-1-9 20:21
2,2,2,2,reparking,0.0,11,i91600067A,KZ,1,2019-7-24 7:1
3,3,3,3,reparking,0.0,11,C72229940J,AY,1,2019-7-10 8:25
4,4,4,4,repair,6.1,53,B15425558p,DZ,0,2019-11-12 6:28
5,5,5,5,reparking,0.0,17,t53263450D,WM,0,2019-3-21 14:31
6,6,6,6,reparking,0.0,13,O18917243I,WT,1,2020-3-2 18:11
7,7,7,7,repair,6.6,57,H17821257f,SC,1,2018-2-2 5:11
8,8,8,8,refuel,0.0,10,a41823930e,CT,1,2020-2-2 20:10
9,9,9,9,reparking,0.0,8,a14231502T,RN,0,2019-9-2 6:36
10,10,10,10,reparking,0.0,13,W16217358q,OT,1,2019-7-14 17:5
11,11,11,11,reparking,0.0,2,A38569725K,KC,0,2019-5-26 1:47
12,12,12,12,reparking,0.0,13,F16031202c,RT,1,2020-9-3 10:31
13,13,13,13,reparking,0.0,16,n15570314X,KJ,0,2019-8-24 13:49
14,14,14,14,repair,7.5,68,S18159473b,WZ,1,2018-5-26 2:7
15,15,15,15,reparking,0.0,10,l22245696z,CV,0,2020-12-8 9:31
16,16,16,16,repair,4.5,37,D16978575e,RW,1,2018-3-14 4:28
17,17,17,17,repair,8.0,70,x80002642q,LG,0,2020-10-20 20:46
18,18,18,18,reparking,0.0,9,B21190735B,CK,0,2020-2-4 22:35
19,19,19,19,repair,4.4,30,O94358151K,JN,1,2020-4-14 18:5
20,20,20,20,refuel,0.0,9,e62534445C,BS,1,2018-5-16 21:19
21,21,21,21,reparking,0.0,13,u18458685Y,YD,1,2018-11-11 19:6
22,22,22,22,reparking,0.0,12,z11597106c,UR,0,2019-10-15 19:55
23,23,23,23,refuel,0.0,5,k21965739e,BG,1,2020-7-21 2:35
24,24,24,24,refuel,0.0,10,x58837153O,MX,1,2020-8-20 6:9
25,25,25,25,repair,8.0,77,G47342943f,WX,1,2020-11-5 0:10
26,26,26,26,reparking,0.0,11,O19264387t,ED,0,2019-4-12 9:45
27,27,27,27,repair,6.5,54,F19059946i,ZY,1,2020-2-3 21:34
28,28,28,28,reparking,0.0,14,r51754540Z,FL,0,2019-5-2 10:37
29,29,29,29,refuel,0.0,12,A80759079M,BC,1,2019-5-14 9:27
30,30,30,30,repair,4.7,40,q94996107b,CF,1,2018-8-16 6:2
31,31,31,31,reparking,0.0,16,D21168709j,WT,1,2020-2-5 14:32
32,32,32,32,repair,6.7,58,F13324317X,PO,1,2020-4-23 23:26
33,33,33,33,reparking,0.0,9,a24383432S,JB,1,2020-2-7 6:24
34,34,34,34,reparking,0.0,10,c71404784h,BV,0,2019-12-30 8:41
35,35,35,35,repair,7.1,57,M16195084T,BW,1,2019-5-21 9:8
36,36,36,36,reparking,0.0,7,T21646410G,BR,0,2019-8-23 4:53
37,37,37,37,repair,6.4,54,a81162503f,KO,1,2020-5-24 8:24
