id,was_married,children,salary,sex,age,profession,home_cost,drive_info,happyness
0,1,4.0,44205297.59368666,1,82.0,Engineer,10036744.144810405,,0.7274992694198597
1,1,2.0,173748959.9878545,1,32.0,Doctor,10140513.669981455,0.0,0.3832343974516152
2,1,6.0,248905477.30828154,1,14.0,Entertainment,10433180.965577615,,0.4321417214904337
3,0,1.0,126871823.00079302,0,10.0,Lawyer,10042985.31329015,,0.3779873464716904
4,1,9.0,85960417.40791118,1,99.0,Artist,10219081.58669495,,0.6575794767201564
5,1,3.0,2474979.075626224,0,21.0,Homemaker,10016535.306500807,1.0,0.3268005898159991
6,1,3.0,2106286.5585010014,0,21.0,Homemaker,9980108.144758623,,0.3876118370855484
7,1,2.0,151408583.49511805,1,32.0,Doctor,10226684.489521174,1.0,0.4042903065521888
8,1,1.0,12841162.118345194,1,9.0,Marketing,10173613.021271689,1.0,0.3358580836646552
9,1,9.0,171898854.86479336,1,100.0,Artist,10184430.87626286,,0.6330373896963778
10,1,9.0,152437794.96423188,1,100.0,Artist,10376836.589678586,1.0,0.7762196630455057
11,1,6.0,170399021.05922294,1,14.0,Entertainment,10332529.881403985,,0.5314293320339288
12,0,1.0,230675293.5667016,0,11.0,Lawyer,10292128.124890065,,0.1038004629327785
13,1,0.0,3784178.9634438744,0,17.0,Healthcare,10199714.224865196,,0.3868815975843326
14,1,0.0,25445204.25215637,1,3.0,Executive,10081419.49743887,0.0,0.4082856994011407
15,1,9.0,104306063.27062851,1,99.0,Artist,10295396.483619208,,0.4466137788974832
16,1,0.0,3722831.0054732123,0,18.0,Healthcare,10124013.385915646,1.0,0.3355401166838383
17,1,0.0,34882839.42365884,1,3.0,Executive,10047476.85238399,1.0,0.3484492062693979
18,1,9.0,138926425.29625243,1,99.0,Artist,10088373.162625644,1.0,0.4771514628055623
19,1,1.0,11637818.553012073,1,9.0,Marketing,10122364.017617684,,0.451636299014319
20,1,4.0,45809599.87761372,1,82.0,Engineer,10256228.33931408,,0.3625748135498443
21,1,3.0,2426618.1712985104,0,21.0,Homemaker,10116704.972444888,0.0,0.4322513616033852
22,0,1.0,141562550.74514943,0,10.0,Lawyer,10193135.010884875,1.0,0.2460461437391349
23,1,3.0,2073728.7154313345,0,20.0,Homemaker,10051564.784645809,0.0,0.3921457044196016
24,0,1.0,123952349.92894138,0,10.0,Lawyer,10194051.957358938,1.0,0.3583181468790449
25,1,6.0,164177698.14092124,1,13.0,Entertainment,10215899.960679583,,0.3441237808115726
26,1,6.0,179862495.96813035,1,13.0,Entertainment,10230947.532300057,0.0,0.3323908428297316
27,1,3.0,1942704.3612663792,0,21.0,Homemaker,10115635.44239498,,0.4139740289521522
28,1,2.0,130999449.34967615,1,32.0,Doctor,10316166.952248294,1.0,0.6430673093173462
29,1,6.0,171682158.88173455,1,13.0,Entertainment,10226017.960478716,1.0,0.4863863371062497
30,1,6.0,151262325.23784605,1,13.0,Entertainment,10224701.24302113,,0.4905514495120637
31,1,0.0,3635028.9912029947,0,17.0,Healthcare,10168633.151457714,,0.4780693123693018
32,1,0.0,3469101.152594608,0,17.0,Healthcare,10133472.70377746,1.0,0.3773199982007424
33,1,0.0,2863953.024412889,0,17.0,Healthcare,10235163.817886297,1.0,0.3374541184190474
34,1,4.0,47203955.44178616,1,81.0,Engineer,10152152.821734676,1.0,0.6089378499488296
35,0,2.0,132119091.51679902,1,32.0,Doctor,10234989.380244672,1.0,0.3992432757906399
36,1,3.0,2152851.57209388,0,21.0,Homemaker,10176757.983331908,,0.6826212818978085
37,0,1.0,182640629.0112595,0,11.0,Lawyer,10231725.823327942,0.0,0.3426287459729119
38,1,1.0,9610457.78053777,1,9.0,Marketing,10089234.232459892,0.0,0.4910906783645338
39,1,4.0,53021035.544144824,1,82.0,Engineer,10051340.303437635,1.0,0.6602796932469411
40,1,0.0,4065052.60876506,0,17.0,Healthcare,10071270.072042877,,0.3401383091478565
41,1,2.0,184115101.32690004,1,32.0,Doctor,10162726.811061878,,0.4572751581046373
42,1,0.0,2586512.553540346,0,17.0,Healthcare,10070502.3258332,,0.4259211304258458
43,1,3.0,1929749.0004304145,0,21.0,Homemaker,10069308.789836118,,0.4937358412453525
44,1,0.0,3419344.608132418,0,17.0,Healthcare,10180547.495851366,,0.3374930028840835
45,1,3.0,2296970.7599550523,0,21.0,Homemaker,10053408.469589818,,0.5861427424257052
46,0,2.0,113249503.0076386,1,32.0,Doctor,10299740.875915129,1.0,0.471249497041096
47,0,1.0,236258001.85420716,0,10.0,Lawyer,10322609.446500808,1.0,0.3219107871350112
48,1,3.0,2777736.3149854327,0,21.0,Homemaker,10023458.30345784,1.0,0.4418962762267438
49,0,1.0,158043409.9322191,0,10.0,Lawyer,10193145.632914916,1.0,0.5516883835886259
50,1,6.0,176002317.04712328,1,13.0,Entertainment,10241573.727556156,,0.5628612170226337
51,1,3.0,1796011.5093901618,0,21.0,Homemaker,10156912.474210007,,0.3124351931142321
52,1,6.0,170502538.26883745,1,13.0,Entertainment,10318051.007882718,,0.6174757274728117
53,1,9.0,88323533.13733032,1,100.0,Artist,10203307.816821748,,0.7352066940023276
54,1,4.0,51312392.41787019,1,82.0,Engineer,10137682.563470503,,0.4546082024787896
55,1,9.0,91153186.76206481,1,99.0,Artist,10190414.985637575,1.0,0.5926798089584621
56,1,0.0,3652290.4386600666,0,17.0,Healthcare,10077376.995507104,1.0,0.4094385107355199
57,1,4.0,50029937.897044726,1,82.0,Engineer,10151696.404976718,1.0,0.4408240142952295
58,1,9.0,107283771.1517097,1,100.0,Artist,10206640.617840478,,0.6425154070113511
59,1,1.0,9825866.850289263,1,9.0,Marketing,10244366.545710357,,0.344978062601434
60,1,4.0,49941627.89766552,1,82.0,Engineer,10031008.228418654,0.0,0.720065441178083
61,1,9.0,104588792.96007736,1,99.0,Artist,10216310.385491792,,0.5521656023884448
62,1,6.0,213352063.69790503,1,13.0,Entertainment,10303274.686131062,1.0,0.5413384414668789
63,1,1.0,12953253.22857247,1,9.0,Marketing,10086932.838050082,0.0,0.4903624595726261
64,1,4.0,50836305.08483496,1,82.0,Engineer,10138984.200493814,0.0,0.5234793322522666
65,1,0.0,4550942.00231453,0,17.0,Healthcare,10158757.958194371,1.0,0.4065090550304082
66,1,9.0,179743110.3823919,1,99.0,Artist,10181477.346055642,0.0,0.7827401015554466
67,1,6.0,190277922.4477601,1,14.0,Entertainment,10234177.92949012,,0.4351539098926145
68,1,6.0,233798561.6245292,1,13.0,Entertainment,10448859.250990205,,0.4095940387008238
69,1,9.0,125883523.04851767,1,100.0,Artist,10248735.566384546,,0.7867459605016933
70,1,0.0,29699832.94571934,1,3.0,Executive,10121962.60621965,,0.4139923353951918
71,1,1.0,14958770.758724598,1,9.0,Marketing,10063899.204594526,,0.6158763849662738
72,0,1.0,228721315.33078855,0,10.0,Lawyer,10301832.009382596,,0.365695508548875
73,1,6.0,221747601.68168354,1,13.0,Entertainment,10277231.003318138,0.0,0.4378827663631219
74,1,9.0,115819166.39890258,1,100.0,Artist,10393876.448345143,,0.661013148657187
75,1,0.0,41657492.418677695,1,3.0,Executive,10078323.704945125,,0.4679853319048351
76,1,6.0,189457533.2986974,1,13.0,Entertainment,10291521.621981168,1.0,0.5859355323522685
77,0,1.0,128666142.60594459,0,10.0,Lawyer,10203281.18848741,0.0,0.5820551029285588
78,1,0.0,3005426.90349222,0,17.0,Healthcare,10154462.585958349,1.0,0.2172701881656211
79,0,2.0,218630320.21403995,1,32.0,Doctor,10357944.044502871,1.0,0.5426412246014073
80,1,0.0,33839437.68747902,1,3.0,Executive,10027692.662565948,1.0,0.4731155099657089
81,0,1.0,142005099.2128999,0,10.0,Lawyer,10233442.85529597,1.0,0.431330580245766
82,1,1.0,12277179.418902948,1,9.0,Marketing,10123864.701157488,1.0,0.4992498850624272
83,0,2.0,154606797.08507648,1,32.0,Doctor,10257472.217552615,,0.4046329718259311
84,0,1.0,122048261.93351741,0,11.0,Lawyer,10279511.54580538,,0.2784037886249272
85,0,1.0,139180168.81201345,0,10.0,Lawyer,10259351.860424029,,0.3626961735792712
86,1,3.0,2420048.38975652,0,21.0,Homemaker,10030913.148306496,,0.5400252042885185
87,1,3.0,2222297.3650276144,0,20.0,Homemaker,10145576.70306424,,0.1819441578583046
88,1,0.0,3339879.9006720698,0,17.0,Healthcare,10110046.541038422,,0.4013174504917406
89,1,3.0,2426244.1741443044,0,21.0,Homemaker,9882781.19995779,1.0,0.506583750435287
90,1,4.0,50671329.90217237,1,82.0,Engineer,10049877.292150363,,0.5665365534248001
91,1,4.0,39015452.67162249,1,82.0,Engineer,10107770.807544312,1.0,0.6271812576349084
92,1,2.0,165834216.32640722,1,32.0,Doctor,10299663.088341711,,0.2825543958858388
93,1,3.0,2038003.3586380747,0,21.0,Homemaker,10170327.380151568,1.0,0.4168654054915721
94,1,9.0,128870579.46630338,1,100.0,Artist,10127844.514579346,1.0,0.6667718429180429
95,1,9.0,122029703.27382557,1,99.0,Artist,10161486.737192145,,0.692049307680657
96,1,3.0,1978830.0783215705,0,21.0,Homemaker,10107324.859111512,1.0,0.2699326199467565
97,1,1.0,8546862.498690063,1,9.0,Marketing,10213048.913930325,1.0,0.4036745640947946
98,1,6.0,217605813.16776448,1,14.0,Entertainment,10405277.862676704,,0.5537140129165952
99,0,1.0,143488213.0715076,0,11.0,Lawyer,10173919.225074071,1.0,0.4675599371779654
100,1,2.0,147052450.97206554,1,32.0,Doctor,10280761.720426982,0.0,0.4835629536721464
101,1,0.0,28628962.48751552,1,3.0,Executive,10102270.913220352,,0.4645524668175303
102,0,1.0,230680818.6894657,0,10.0,Lawyer,10417446.373123895,1.0,0.4757567021228441
103,1,9.0,137324863.41392788,1,99.0,Artist,10171432.379651835,,0.7569423704506104
104,1,3.0,2676405.8362654606,0,21.0,Homemaker,10046163.001367554,,0.5337406381563966
105,1,0.0,3061074.7501080586,0,17.0,Healthcare,10019371.821621962,0.0,0.3731806927887113
106,1,0.0,42993134.67754679,1,3.0,Executive,10045269.978931615,,0.5401734731703121
107,1,9.0,103932431.57714397,1,99.0,Artist,10220293.746352408,,0.729430273842095
108,1,9.0,112099454.51467852,1,99.0,Artist,10153969.23351607,,0.6620772836571868
109,1,6.0,194563202.05414948,1,13.0,Entertainment,10408424.23031968,,0.752943440907191
110,0,1.0,142816779.1483014,0,10.0,Lawyer,10310681.529242354,1.0,0.3319960330492395
111,1,9.0,125797093.35419945,1,100.0,Artist,10127852.802333351,,0.8020958442909871
112,1,1.0,11017283.167090843,1,9.0,Marketing,10185354.663907304,,0.4113773415233425
113,1,2.0,200002341.41879356,1,32.0,Doctor,10286423.447450915,1.0,0.4116607835476999
114,1,4.0,41395868.659487754,1,82.0,Engineer,10204234.341158671,1.0,0.5325094980126872
115,0,2.0,227037549.1152989,1,32.0,Doctor,10332675.562069742,,0.7572360101285238
116,1,3.0,2501558.0650854986,0,21.0,Homemaker,10042864.191712417,1.0,0.4528067733173712
117,1,3.0,2158398.4421881693,0,21.0,Homemaker,10074241.3916007,1.0,0.2694933288713743
118,1,0.0,33026723.093601856,1,3.0,Executive,10075141.52349924,0.0,0.341955287074083
119,1,2.0,131519812.95851167,1,32.0,Doctor,10192538.878635606,1.0,0.6107430472245492
120,1,4.0,33901065.470160514,1,81.0,Engineer,10128362.44141095,0.0,0.5389281534817769
121,1,0.0,3043101.8993517426,0,17.0,Healthcare,10097853.937958648,0.0,0.3289231309835836
122,0,1.0,132889793.43161228,0,10.0,Lawyer,10252007.415478608,,0.5707252632444413
123,1,3.0,2351127.183185526,0,21.0,Homemaker,10180088.755034173,0.0,0.6341357181975932
124,1,9.0,127427317.97219126,1,100.0,Artist,10337306.419533616,,0.4884906181574455
125,1,0.0,3106792.493283614,0,17.0,Healthcare,9969120.181728125,,0.2822800843827623
126,1,4.0,37384014.56214804,1,82.0,Engineer,10088843.380506128,,0.6400094649695028
127,1,4.0,53955581.45398906,1,82.0,Engineer,10146706.17664791,1.0,0.4711527765745172
128,1,0.0,41100824.86770324,1,3.0,Executive,10191019.8920851,,0.4090599188798559
129,1,9.0,146811975.08305925,1,100.0,Artist,10173994.865041004,1.0,0.729470830286962
130,1,0.0,27947074.89756819,1,3.0,Executive,10200641.18647295,,0.3463750977228166
131,0,1.0,173932264.40763158,0,10.0,Lawyer,10336155.473863894,1.0,0.4317776476061795
132,1,1.0,13335233.087072644,1,9.0,Marketing,10138232.608254367,,0.3569106009181965
133,1,1.0,12285231.472895265,1,9.0,Marketing,10096392.988613283,0.0,0.4554777863035095
134,1,0.0,4056407.6532778684,0,17.0,Healthcare,10134529.020213043,1.0,0.5507058929903194
135,1,9.0,104976973.37728913,1,100.0,Artist,10021473.537065135,1.0,0.6181052061483236
136,1,1.0,13223976.092407059,1,9.0,Marketing,10131936.913089631,1.0,0.3249262099902735
137,0,2.0,165136398.98788938,1,32.0,Doctor,10184260.525624136,,0.6380743552922998
138,1,1.0,16703435.843686268,1,9.0,Marketing,10269426.281703657,,0.2841811545991967
139,1,1.0,12946344.601106217,1,9.0,Marketing,10158218.15936428,1.0,0.3051062592636584
140,1,9.0,146695105.1871281,1,100.0,Artist,10204016.369932069,,0.6457434241823135
141,1,0.0,34358572.077980004,1,3.0,Executive,10086890.12655454,,0.4235375975673242
142,1,4.0,35408753.519403405,1,82.0,Engineer,10095091.966299187,1.0,0.6006644776950882
143,1,1.0,14607010.76987387,1,9.0,Marketing,10251250.377903346,,0.2757654021477482
144,1,0.0,35126271.80462979,1,3.0,Executive,10224028.741614783,1.0,0.6250127908760995
145,1,2.0,205119277.23598632,1,32.0,Doctor,10299308.18407434,,0.5149323730034925
146,1,0.0,2985819.9371437673,0,17.0,Healthcare,10178930.3828644,1.0,0.4227605347226789
147,1,0.0,39977125.75811718,1,3.0,Executive,10180519.02926908,1.0,0.3661336733741015
148,1,0.0,3492919.0316675296,0,17.0,Healthcare,10146812.9842423,1.0,0.4669450723281056
149,1,9.0,110861920.53204751,1,99.0,Artist,10379937.29170592,,0.503684193890795
150,1,3.0,2275749.168418553,0,21.0,Homemaker,10059712.751849797,1.0,0.4162669182674637
151,1,6.0,198870682.55688474,1,13.0,Entertainment,10307901.5508727,,0.4221525393671116
152,1,0.0,24107448.27310533,1,3.0,Executive,10057238.084894327,1.0,0.5651913250021422
153,1,4.0,51134656.61308206,1,82.0,Engineer,10234171.303841952,,0.6507310587519457
154,1,0.0,3041461.786468061,0,17.0,Healthcare,10056081.84912598,1.0,0.3650886638712547
155,1,4.0,39238034.90287224,1,82.0,Engineer,10151708.592670016,,0.7160852038659118
156,1,2.0,190759374.9487791,1,32.0,Doctor,10293135.378578791,1.0,0.506430477295348
157,1,0.0,32093360.50043335,1,3.0,Executive,10123160.839055914,1.0,0.3512151150797997
158,1,0.0,27145777.036006797,1,3.0,Executive,10145095.030428998,1.0,0.3642419615940241
159,1,6.0,205892674.99279705,1,13.0,Entertainment,10375885.09090584,,0.332725955955699
160,1,1.0,14791425.20458467,1,9.0,Marketing,10135685.447529966,0.0,0.3817302686227471
161,0,1.0,199642978.5340048,0,10.0,Lawyer,10315059.053371286,1.0,0.3609372776700151
162,1,9.0,70462011.70339763,1,99.0,Artist,10132620.63661697,0.0,0.7999622616447243
163,1,0.0,3183693.93146728,0,17.0,Healthcare,9958080.342927191,1.0,0.234567504482943
164,1,9.0,145718110.28904057,1,99.0,Artist,10165913.166508472,1.0,0.7255273974540155
165,1,9.0,124700052.60677658,1,100.0,Artist,10160225.42309281,1.0,0.574684503857915
166,0,1.0,116990856.11114043,0,10.0,Lawyer,10363944.81010158,,0.3566845395097506
167,1,0.0,35957460.900135465,1,3.0,Executive,10146622.821023118,0.0,0.484479857648478
168,1,1.0,13352627.73032711,1,9.0,Marketing,10031393.35918374,,0.3247108677757642
169,1,6.0,174440096.44475612,1,13.0,Entertainment,10473524.926419536,,0.5027670938551664
170,1,3.0,2345011.9640726424,0,21.0,Homemaker,10032482.251831591,1.0,0.4991134820527588
171,1,4.0,42081997.27468677,1,82.0,Engineer,10135533.840301763,1.0,0.5844888414944582
172,1,0.0,4082984.9587059245,0,17.0,Healthcare,10169998.512669424,,0.3368592168726312
173,1,3.0,2295501.608618173,0,21.0,Homemaker,9824378.17956564,,0.1508536803131146
174,1,9.0,124793701.74159995,1,99.0,Artist,10251152.23466556,0.0,0.8698113861142303
175,1,0.0,3390307.028667245,0,17.0,Healthcare,10171644.024670428,1.0,0.30090895647257
176,1,6.0,267210058.93459904,1,14.0,Entertainment,10290018.11020068,,0.4643228448847552
177,1,3.0,2005543.937869884,0,21.0,Homemaker,10110056.072026104,,0.4327700199100773
178,1,9.0,111890764.93081099,1,99.0,Artist,10294510.753885144,,0.7691946349799604
179,1,9.0,161493113.1119465,1,99.0,Artist,10157212.77065668,0.0,0.6648069263985227
180,1,1.0,12344851.553797884,1,9.0,Marketing,10130721.7218824,,0.2956374567907104
181,1,6.0,192163821.01371372,1,14.0,Entertainment,10297607.930670813,1.0,0.5225825036928683
182,1,0.0,38452050.30776478,1,3.0,Executive,10122957.238061631,,0.5093567071006961
183,1,0.0,24623818.94757159,1,3.0,Executive,10142862.141278269,,0.1683550355845898
184,1,4.0,38574372.2893032,1,82.0,Engineer,10060382.024966124,1.0,0.6581554522716556
185,1,2.0,174800284.2415675,1,32.0,Doctor,10370087.087265955,0.0,0.490265364402861
186,1,0.0,3422326.1286864937,0,17.0,Healthcare,10172907.474793252,,0.4010840958685089
187,0,1.0,227843206.13349953,0,10.0,Lawyer,10236467.422141846,1.0,0.4184911471461062
188,1,2.0,219745350.64697835,1,32.0,Doctor,10355667.406097334,1.0,0.6882921859042482
189,1,0.0,3342292.811849726,0,17.0,Healthcare,10082953.058972456,,0.3311298075354059
190,0,1.0,144825572.14031506,0,11.0,Lawyer,10330869.579571566,,0.3012962280058759
191,1,0.0,3347035.304913336,0,17.0,Healthcare,10052771.18627967,1.0,0.3597841365042604
192,1,2.0,141115604.10908398,1,32.0,Doctor,10319008.663586248,0.0,0.6577808294614137
193,1,2.0,199775971.06917763,1,32.0,Doctor,10457242.167766703,1.0,0.584270724874979
194,1,6.0,226237015.6117655,1,14.0,Entertainment,10392791.460321471,1.0,0.4525163310026049
195,1,0.0,2935577.407921638,0,17.0,Healthcare,10175165.926371202,1.0,0.443760228929593
196,1,1.0,13382965.70183562,1,9.0,Marketing,10196680.325663768,,0.501895157329326
197,1,3.0,2190962.977749695,0,20.0,Homemaker,10109072.020582518,1.0,0.6291309737358332
198,1,6.0,131878768.62592444,1,14.0,Entertainment,10371503.16083228,1.0,0.5269912418876516
199,1,2.0,194535161.75144425,1,32.0,Doctor,10249039.466046592,,0.367998186850713
200,1,9.0,145650492.18598777,1,100.0,Artist,10129652.348338146,0.0,0.7680694403949532
201,1,0.0,30814255.66451758,1,3.0,Executive,10141373.419991706,1.0,0.4460998695979218
202,1,1.0,15859118.052082397,1,9.0,Marketing,10220896.796801114,1.0,0.4748386047256868
203,1,3.0,2300793.2528850874,0,20.0,Homemaker,10063635.450437298,,0.4902730909991382
204,1,1.0,9801087.086314298,1,9.0,Marketing,10202948.933279974,,0.4487205338098184
205,1,0.0,31226751.254133575,1,3.0,Executive,10139913.330330484,,0.5026293925001333
206,1,6.0,147678671.31601077,1,14.0,Entertainment,10327227.16976031,,0.6235993282642084
207,1,9.0,177905642.4572367,1,100.0,Artist,10239063.342760466,,0.8878074154463913
208,1,6.0,140634402.64582953,1,14.0,Entertainment,10254546.008258251,0.0,0.5754116960753825
209,1,1.0,12377736.114761142,1,9.0,Marketing,10099708.733658211,,0.4437626297587182
210,1,1.0,9752722.498844022,1,9.0,Marketing,10114921.976098493,,0.4678429739600855
211,1,6.0,183455641.57747775,1,14.0,Entertainment,10408535.087677116,0.0,0.451117346440708
212,1,2.0,161181590.99282175,1,32.0,Doctor,10214862.013447933,1.0,0.4213730138056832
213,1,1.0,18137009.21113278,1,9.0,Marketing,10092001.741560064,,0.3345125785009368
214,1,0.0,30779776.796779744,1,3.0,Executive,10144231.051204767,,0.2738228199465066
215,1,9.0,127136846.04646698,1,99.0,Artist,10276147.23243513,,0.756682014362158
216,1,3.0,2323689.7981525874,0,21.0,Homemaker,10026924.66418632,0.0,0.3953555235352423
217,1,1.0,9996954.284634149,1,9.0,Marketing,10086386.197254157,1.0,0.4930848667600105
218,0,2.0,126932040.47664961,1,32.0,Doctor,10267788.2596955,,0.3674561605133524
219,1,1.0,9858031.678052355,1,9.0,Marketing,10150164.64566772,,0.5464855144482437
220,1,2.0,147442026.33841032,1,32.0,Doctor,10162218.537814246,,0.5134466437136274
221,1,3.0,1975643.1792886043,0,21.0,Homemaker,10098698.075837111,,0.2759257932612141
