car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class,mean_rating,distance_sum,rating_min,speed_max,user_ride_quality_median,deviation_normal_count,user_uniq
y13744087j,Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,109.99,another_bug,4.737758620689656,12141310.405393252,0.1,180.85572556050948,0.023173661900778,174,170
O41613818T,VW Polo VI,economy,petrol,3.9,2015,78218,2021,34.48,electro_bug,4.48051724137931,18039092.838364355,0.0,187.8627335471007,12.306011474511767,174,174
d-2109686j,Renault Sandero,standart,petrol,6.3,2012,23340,2017,34.93,gear_stick,4.7683908045977015,15883659.427897697,0.1,102.38285735291586,2.513318921197051,174,173
u29695600e,Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,32.22,engine_fuel,3.880919540229885,16518828.765338147,0.1,172.79323664031617,-5.029475721007603,174,170
N-8915870N,Renault Sandero,standart,petrol,4.7,2012,26428,2017,27.51,engine_fuel,4.181149425287356,13983174.664415987,0.1,203.46228927518268,-14.260456360691336,174,171
b12101843B,Skoda Rapid,economy,petrol,2.36,2013,42176,2018,48.99,engine_ignition,4.3517816091954025,10855890.99269225,0.1,180.88628937633771,-18.22183170934943,174,173
Q-9368117S,Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,54.72,engine_overheat,4.392126436781609,8343280.331990728,0.1,174.98478561145714,12.321364132418193,174,167
O-2124190y,Tesla Model 3,premium,electro,3.9,2017,116872,2019,50.4,gear_stick,4.7123563218390805,9793288.027071977,0.1,95.89073640916286,-8.939366273356725,174,139
h16895544p,Kia Sportage,standart,petrol,3.5,2014,56384,2017,33.59,gear_stick,4.507758620689655,16444046.8943617,0.32,101.79861494928544,-1.1646904508091973,174,170
K77009462l,Smart ForFour,economy,petrol,4.56,2013,41309,2018,39.04,gear_stick,4.376839080459771,6975742.479808934,0.1,125.25498324154968,3.769684186697205,174,173
s45684436W,VW Polo,economy,petrol,2.14,2012,22590,2018,49.48,engine_check,4.675804597701149,11412281.133244712,0.1,164.22020969763824,-0.06794626497818546,174,173
E-7624014J,VW Polo VI,economy,petrol,5.0,2011,919,2017,30.74,electro_bug,4.226379310344828,12512904.708291572,0.0,187.0,-7.708230228883274,174,174
I49569137x,Kia Rio,economy,petrol,3.92,2015,73646,2018,55.55,engine_check,4.70051724137931,7203696.103685387,0.16,153.54720575175003,4.226565662313874,174,171
f20619972B,Skoda Rapid,economy,petrol,4.02,2016,104165,2019,54.16,engine_check,4.57948275862069,9507010.723710977,0.1,158.0,-4.4414014730336095,174,172
N18554472N,Smart Coupe,economy,petrol,5.42,2017,117210,2019,53.04,engine_check,4.6533908045977,15403820.892015133,0.1,164.0,2.397501307692271,174,170
O-2225875m,VW Tiguan,economy,petrol,5.64,2016,109471,2019,30.05,wheel_shake,4.642126436781609,12022996.443984438,0.13,126.51942289744318,-2.387404111066373,174,172
B11433908y,VW Tiguan,economy,petrol,5.16,2014,58987,2021,33.7,engine_fuel,4.031896551724138,21195910.449065734,0.1,165.91195642713998,-3.346106649721203,174,170
K20059604P,Skoda Rapid,economy,petrol,3.54,2016,101495,2016,33.68,electro_bug,4.285747126436782,13990353.22720816,0.0,209.98283950882248,7.790726514575073,174,172
D10115495S,Smart ForTwo,economy,petrol,5.02,2016,108995,2018,36.92,gear_stick,4.387931034482759,9269709.531679643,0.1,101.83942030119768,15.121775245344482,174,171
s-2136281x,Smart ForTwo,economy,petrol,5.08,2016,95935,2014,35.09,engine_fuel,3.85867816091954,16657027.634673882,0.1,161.08277896296124,-3.309970275158099,174,171
z72983842Y,Kia Rio X,economy,petrol,4.7,2013,41150,2021,17.64,gear_stick,4.456436781609195,16192147.011219418,0.1,120.02441407681069,8.841953404022632,174,172
s-1094161i,Mercedes-Benz E200,business,petrol,5.32,2011,1299,2019,45.24,engine_overheat,4.447126436781609,20427293.78814421,0.1,175.24442527517795,5.590684034097991,174,173
Z-1155909A,Nissan Qashqai,standart,petrol,4.62,2013,40025,2020,41.83,engine_overheat,3.897471264367816,10833997.004137255,0.1,181.59713594116903,11.066627647760747,174,171
Z-1196295K,Smart ForTwo,economy,petrol,4.54,2016,115037,2019,24.06,engine_overheat,4.130114942528736,10544424.640253257,0.1,186.1179531519749,-10.973928059976847,174,173
i31421704Y,Renault Kaptur,standart,petrol,5.34,2013,51207,2017,43.05,engine_check,4.571494252873563,9051244.23721845,0.1,156.0,-2.9678609951855854,174,172
