car_id,target_2
v-1144396k,break_bug
b13819346G,gear_stick
z-1088987H,electro_bug
K-2091756f,gear_stick
k15500468F,engine_fuel
z-8173252R,gear_stick
n-1101328J,engine_check
u22877602M,gear_stick
Z70075253s,gear_stick
k42770139y,engine_check
I-7000625d,electro_bug
P50548773h,engine_ignition
v44548974Z,engine_check
m-1844852f,engine_fuel
H-9264153U,engine_ignition
n57547367n,wheel_shake
g-1073863c,engine_overheat
E24085349I,another_bug
l-1294820h,engine_check
p21460413l,engine_fuel
k50267468W,engine_check
z10636869d,engine_ignition
y12315854e,break_bug
x21023699P,engine_overheat
x14167513R,engine_overheat
O-9046173T,engine_fuel
Q13645631a,electro_bug
A12510158A,gear_stick
u41972803V,electro_bug
G16978643T,gear_stick
K18195568h,wheel_shake
b18074055q,engine_overheat
S11584247k,another_bug
O-1561345Z,another_bug
L-4855905y,break_bug
C-1859974Y,gear_stick
h-1893997b,engine_check
L-1443299f,engine_overheat
f13240028e,engine_check
p-5123764A,engine_overheat
M-2103148Q,another_bug
C22687255W,engine_fuel
B38103659x,engine_ignition
Q96528797Q,electro_bug
m11248043Y,engine_fuel
P-1578006l,engine_overheat
w12262900N,electro_bug
D-2040684W,engine_ignition
w-1379693n,engine_fuel
S95346141R,break_bug
w72809010Z,another_bug
b21731330D,engine_fuel
d-7389312N,engine_overheat
Z14089608E,wheel_shake
X15278156o,break_bug
L17290420U,another_bug
k-1402604E,engine_ignition
V-1287957H,electro_bug
F-1071951c,gear_stick
t12115540e,engine_ignition
U17011151c,another_bug
e-1346871S,engine_overheat
M85655105F,engine_fuel
a-1350330u,electro_bug
p61534081A,engine_overheat
r-1802951U,another_bug
V-1462727o,engine_ignition
Z53130609s,electro_bug
O-1719763e,engine_ignition
l14828435D,another_bug
A18986159Q,wheel_shake
L43850500U,engine_fuel
d-1752148D,engine_fuel
a17492322b,another_bug
E-5365034H,engine_check
K18647136I,wheel_shake
r87790593l,wheel_shake
r-2145681U,engine_check
N21549504S,break_bug
C21153088b,engine_overheat
C13329591i,electro_bug
c19190549B,another_bug
c-7218950C,gear_stick
M80011314S,engine_check
r17270328g,engine_fuel
P26862032y,another_bug
r-1420423L,engine_ignition
d-6059385g,break_bug
O46277827S,engine_check
K-1046480R,gear_stick
L-4419208s,another_bug
N-2786065T,engine_fuel
d54342978l,another_bug
C58987152s,break_bug
Q-2184494X,engine_ignition
c96735434W,another_bug
p42582088t,electro_bug
y86690541N,engine_ignition
y50309519c,engine_check
P-2393603g,engine_fuel
w-1461207H,another_bug
R-1780898E,electro_bug
A-1856124X,another_bug
P-8824926D,gear_stick
I13549873x,engine_ignition
x10112572t,engine_fuel
Z22442763a,engine_ignition
z-1015422a,engine_ignition
J-5439360F,break_bug
J36898675g,break_bug
j-9339318G,gear_stick
N-2016305E,gear_stick
t-4850332O,engine_check
x12105006B,engine_ignition
J21700418V,engine_ignition
Z12767571E,engine_check
s-1374162A,gear_stick
F-1374015U,engine_overheat
g16482583D,engine_ignition
T44002322d,engine_fuel
D-1755442T,engine_fuel
Q-1116334A,engine_fuel
y12934938h,engine_overheat
H88419425N,wheel_shake
V47507709b,electro_bug
S-2232739a,gear_stick
l-5170115d,break_bug
A-1008700v,electro_bug
T11853320c,another_bug
p-3515537A,engine_overheat
u-1646866u,gear_stick
P-4604448W,break_bug
C18231357D,another_bug
E-1345724B,gear_stick
d-2277082w,another_bug
B-2099165t,gear_stick
g-1515897T,engine_overheat
f14379547k,another_bug
S-5805926A,engine_ignition
I10869368i,break_bug
y-2793216V,electro_bug
r-1095335c,engine_overheat
