car_type,fuel_type,car_rating,year_to_start,riders,car_id,model,target_reg,target_class,year_to_work
economy,petrol,4.8,2013,42269,P17494612l,Skoda Rapid,1,engine_overheat,2019
standart,petrol,4.32,2015,90014,N-1530212S,Renault Sandero,1,electro_bug,2016
economy,petrol,4.46,2015,82684,B-1154399t,Smart ForTwo,0,break_bug,2017
economy,petrol,3.78,2015,76163,y13744087j,Kia Rio X-line,0,another_bug,2021
economy,petrol,2.8,2014,68833,F12725233R,Smart ForFour,0,gear_stick,2021
economy,petrol,3.9,2015,78218,O41613818T,VW Polo VI,0,electro_bug,2021
economy,petrol,6.56,2013,42442,l-1139189J,Skoda Rapid,1,electro_bug,2021
standart,petrol,6.3,2012,23340,d-2109686j,Renault Sandero,0,gear_stick,2017
business,petrol,4.04,2011,1263,u29695600e,Mercedes-Benz GLC,0,engine_fuel,2020
standart,petrol,4.04,2014,59752,U75286923j,Nissan Qashqai,0,engine_overheat,2018
standart,petrol,4.38,2015,84497,T-7479831o,Renault Sandero,0,gear_stick,2015
standart,petrol,4.7,2012,26428,N-8915870N,Renault Sandero,0,engine_fuel,2017
economy,petrol,2.36,2013,42176,b12101843B,Skoda Rapid,0,engine_ignition,2018
economy,petrol,4.98,2015,73543,B-1369793u,Kia Rio X,2,gear_stick,2022
standart,petrol,5.32,2012,24611,Q-9368117S,Nissan Qashqai,0,engine_overheat,2014
premium,electro,3.9,2017,116872,O-2124190y,Tesla Model 3,0,gear_stick,2019
standart,petrol,3.5,2011,2670,Y-1289786X,Renault Kaptur,1,engine_check,2015
standart,petrol,4.34,2013,42630,C29045893T,Kia Sportage,0,gear_stick,2014
standart,petrol,3.5,2014,56384,h16895544p,Kia Sportage,1,gear_stick,2017
economy,petrol,4.56,2013,41309,K77009462l,Smart ForFour,0,gear_stick,2018
economy,petrol,2.14,2012,22590,s45684436W,VW Polo,0,engine_check,2018
economy,petrol,5.0,2011,919,E-7624014J,VW Polo VI,0,electro_bug,2017
economy,petrol,4.2,2015,75702,v-1730983R,Kia Rio,0,break_bug,2018
economy,petrol,3.78,2013,43187,I20727212Q,Hyundai Solaris,0,wheel_shake,2020
business,petrol,3.08,2013,39965,p48812438h,Mercedes-Benz GLC,0,engine_ignition,2017
economy,petrol,3.92,2015,73646,I49569137x,Kia Rio,0,engine_check,2018
economy,petrol,4.02,2016,104165,f20619972B,Skoda Rapid,0,engine_check,2019
economy,petrol,5.42,2017,117210,N18554472N,Smart Coupe,1,engine_check,2019
economy,petrol,5.64,2016,109471,O-2225875m,VW Tiguan,0,wheel_shake,2019
economy,petrol,5.16,2014,58987,B11433908y,VW Tiguan,2,engine_fuel,2021
economy,petrol,3.54,2016,101495,K20059604P,Skoda Rapid,0,electro_bug,2016
economy,petrol,4.88,2012,21156,T-2633971l,VW Polo VI,0,engine_ignition,2015
economy,petrol,5.02,2016,108995,D10115495S,Smart ForTwo,0,gear_stick,2018
economy,petrol,5.08,2016,95935,s-2136281x,Smart ForTwo,0,engine_fuel,2014
economy,petrol,4.7,2013,41150,z72983842Y,Kia Rio X,0,gear_stick,2021
business,petrol,5.32,2011,1299,s-1094161i,Mercedes-Benz E200,0,engine_overheat,2019
standart,petrol,6.34,2014,71019,V-9683916q,Kia Sportage,2,engine_ignition,2018
economy,petrol,4.38,2015,87873,P68488505Z,Kia Rio X,0,wheel_shake,2020
standart,petrol,4.62,2013,40025,Z-1155909A,Nissan Qashqai,0,engine_overheat,2020
standart,petrol,4.52,2012,26060,W23907639f,Renault Sandero,0,another_bug,2016
economy,petrol,4.4,2011,2760,A22674788w,VW Polo,0,wheel_shake,2021
economy,petrol,4.54,2016,115037,Z-1196295K,Smart ForTwo,0,engine_overheat,2019
economy,petrol,4.8,2014,57459,y-1252277z,Skoda Rapid,0,engine_check,2020
economy,petrol,4.18,2015,87285,u21168983D,VW Polo,3,engine_fuel,2020
standart,petrol,5.34,2013,51207,i31421704Y,Renault Kaptur,1,engine_check,2017
business,petrol,3.84,2014,58789,t10463236f,Mini Cooper,0,engine_ignition,2022
standart,petrol,2.7,2014,60017,v13404305i,Kia Sportage,0,break_bug,2020
economy,petrol,2.96,2014,65703,m20203244V,Kia Rio,0,engine_overheat,2016
economy,petrol,3.9,2014,64084,x12753662A,VW Polo,0,engine_overheat,2020
standart,petrol,5.42,2012,20276,k-1015732Y,Nissan Qashqai,0,engine_overheat,2016
economy,petrol,4.9,2017,114576,m-8965256V,VW Tiguan,1,engine_ignition,2019
standart,petrol,4.4,2014,63903,v-7435255a,Renault Kaptur,1,engine_fuel,2018
standart,petrol,3.8,2011,3028,U13022243O,Renault Sandero,0,electro_bug,2021
economy,petrol,3.56,2015,92149,E12421362P,Smart ForTwo,0,engine_fuel,2020
economy,petrol,3.86,2014,58610,j12330862q,Hyundai Solaris,1,gear_stick,2017
standart,petrol,4.14,2012,20421,J35738918W,Renault Sandero,1,electro_bug,2019
economy,petrol,4.36,2013,47354,C-5320082T,Kia Rio X,0,electro_bug,2020
economy,petrol,3.18,2016,96361,s17672064L,Smart ForTwo,0,gear_stick,2020
standart,petrol,4.22,2011,5312,T16973122B,Renault Sandero,1,engine_overheat,2018
economy,petrol,2.78,2015,93180,d19359573S,Smart ForTwo,0,engine_overheat,2017
economy,petrol,2.52,2011,5500,O22361854N,VW Polo VI,0,engine_overheat,2018
economy,petrol,4.72,2015,87088,p-5671458M,Smart Coupe,0,engine_overheat,2017
economy,petrol,3.5,2015,83384,I68086031c,Smart Coupe,0,wheel_shake,2021
standart,petrol,3.48,2012,26419,D69722395r,Kia Sportage,0,engine_check,2021
economy,petrol,4.44,2015,75532,X10967418c,VW Tiguan,0,another_bug,2019
economy,petrol,4.88,2017,137213,i-1479300M,Skoda Rapid,0,another_bug,2019
economy,petrol,3.88,2012,25173,L60286103R,VW Polo VI,0,break_bug,2018
business,petrol,4.98,2015,87662,q-1489273f,Mercedes-Benz GLC,0,gear_stick,2019
economy,petrol,4.1,2013,40281,p26377723i,Hyundai Solaris,0,break_bug,2019
standart,petrol,5.58,2012,23136,C-1903701S,Kia Sportage,0,engine_check,2017
standart,petrol,5.4,2013,47719,W-1512641W,Renault Kaptur,0,engine_overheat,2018
standart,petrol,4.08,2011,6150,r11820515d,Kia Sportage,1,engine_check,2017
standart,petrol,4.7,2015,84786,y-3838245t,Kia Sportage,0,engine_overheat,2021
economy,petrol,4.5,2014,65491,b-2719977Z,Kia Rio X,0,another_bug,2020
economy,petrol,5.1,2015,88451,D-2109758O,VW Tiguan,0,engine_fuel,2020
economy,petrol,3.82,2012,18403,M89853598O,Kia Rio X,0,engine_overheat,2018
economy,petrol,3.94,2011,8160,x12397432S,VW Polo VI,2,engine_fuel,2017
standart,petrol,4.02,2011,656,Q50389908q,Renault Kaptur,0,another_bug,2018
standart,petrol,4.04,2013,41088,B18597537S,Nissan Qashqai,0,break_bug,2020
standart,petrol,4.12,2011,251,z34396656x,Nissan Qashqai,0,engine_ignition,2015
standart,petrol,5.26,2013,44717,S-9537522o,Renault Kaptur,0,another_bug,2021
economy,petrol,3.0,2015,71998,a10623296X,Hyundai Solaris,0,electro_bug,2019
economy,petrol,5.3,2014,74608,R28123139u,VW Polo,2,engine_fuel,2017
economy,petrol,5.26,2012,28216,S19803153J,Hyundai Solaris,0,another_bug,2015
economy,petrol,4.48,2016,105035,y35650754l,VW Tiguan,0,wheel_shake,2018
standart,petrol,4.16,2012,22581,h-1451730v,Renault Sandero,0,gear_stick,2017
economy,petrol,5.56,2016,94354,U-1719392C,Skoda Rapid,0,engine_overheat,2021
economy,petrol,3.62,2014,58269,Q12359942h,Kia Rio,0,electro_bug,2019
economy,petrol,4.58,2011,4083,F-2082660j,Kia Rio X,1,engine_ignition,2016
standart,petrol,4.48,2013,43208,d-1257449w,Kia Sportage,0,engine_fuel,2017
economy,petrol,3.34,2016,93681,C15164392z,Skoda Rapid,0,electro_bug,2014
economy,petrol,3.96,2016,101999,N11419190t,Skoda Rapid,0,break_bug,2021
economy,petrol,4.54,2015,76585,k63904133P,Smart ForFour,0,another_bug,2018
economy,petrol,2.56,2015,86940,J92413639E,Hyundai Solaris,0,engine_fuel,2019
standart,petrol,5.4,2015,82876,b-3875784F,Renault Sandero,0,another_bug,2017
economy,petrol,4.98,2016,106858,A-6969550V,Smart ForFour,0,engine_overheat,2014
economy,petrol,3.7,2014,67173,f15183722K,Kia Rio,0,wheel_shake,2015
economy,petrol,4.3,2013,45047,c-1874297z,Skoda Rapid,1,another_bug,2020
business,petrol,4.04,2011,57,E16971328N,Mercedes-Benz GLC,3,break_bug,2022
standart,petrol,4.56,2012,22533,H21489304G,Renault Kaptur,0,another_bug,2020
economy,petrol,3.4,2017,127643,H18110876A,Smart ForFour,0,another_bug,2020
economy,petrol,3.06,2017,109500,P-1301418D,Skoda Rapid,2,engine_ignition,2015
economy,petrol,5.7,2013,48487,Y-4731644Z,Kia Rio X,0,electro_bug,2019
standart,petrol,4.32,2011,3171,b-9697936F,Renault Sandero,0,electro_bug,2018
standart,petrol,5.8,2012,21154,Y-1002609O,Renault Kaptur,0,gear_stick,2018
economy,petrol,4.56,2014,65861,H-4258275m,Kia Rio,0,electro_bug,2020
economy,petrol,3.46,2017,111468,q11941907L,Skoda Rapid,1,engine_ignition,2017
economy,petrol,3.92,2017,115432,H10655858l,Smart ForTwo,0,electro_bug,2016
economy,petrol,3.22,2014,55735,W17831606Y,Hyundai Solaris,2,another_bug,2016
economy,petrol,4.54,2012,19239,u-1788771U,VW Polo,0,engine_fuel,2018
economy,petrol,5.12,2012,19918,F-1257166O,Kia Rio X,0,engine_overheat,2015
standart,petrol,4.68,2014,59221,k82740809C,Renault Sandero,1,engine_fuel,2015
standart,petrol,3.36,2011,6019,A13746070T,Renault Sandero,0,break_bug,2021
