iter	MultiClass
0	2.195661552
1	2.194383463
2	2.099305721
3	2.011087753
4	1.951683326
5	1.951110046
6	1.902280277
7	1.901054057
8	1.842745118
9	1.749908462
10	1.739347997
11	1.707964885
12	1.707816084
13	1.672760894
14	1.630977071
15	1.630896504
16	1.620848213
17	1.592045904
18	1.514420531
19	1.513700872
20	1.508061951
21	1.488066717
22	1.48646912
23	1.462104324
24	1.462086156
25	1.419328661
26	1.3885363
27	1.388523771
28	1.383429438
29	1.366618228
30	1.362180313
31	1.361553231
32	1.361544661
33	1.342427016
34	1.305419848
35	1.28647336
36	1.285929617
37	1.285923308
38	1.269409615
39	1.254247638
40	1.253752293
41	1.253749118
42	1.239641697
43	1.229045865
44	1.228148293
45	1.211417137
46	1.1972744
47	1.184630018
48	1.184626372
49	1.182066127
50	1.181419961
51	1.177856247
52	1.177854466
53	1.177853044
54	1.160518185
55	1.159772079
56	1.151984116
57	1.151555609
58	1.133212441
59	1.123537436
60	1.123534416
61	1.111754025
62	1.111750714
63	1.094352882
64	1.085844573
65	1.085842726
66	1.077860269
67	1.072068158
68	1.072065057
69	1.058713271
70	1.058710335
71	1.058192991
72	1.05819114
73	1.048356461
74	1.038175767
75	1.025748609
76	1.021624468
77	1.01868007
78	1.018677046
79	1.018674629
80	1.015656597
81	1.006499908
82	1.001681335
83	0.9902811047
84	0.9840054541
85	0.9814301908
86	0.9731223221
87	0.9675881581
88	0.9587448428
89	0.9523735984
90	0.9508516636
91	0.9508426916
92	0.950835456
93	0.9481751362
94	0.9414698808
95	0.9375138883
96	0.9341630516
97	0.9275250345
98	0.9257884576
99	0.9243364078
100	0.9215876802
101	0.9192424786
102	0.9117990803
103	0.908324
104	0.9071913124
105	0.9058462425
106	0.9013135294
107	0.9009513009
108	0.9009441464
109	0.8980819854
110	0.894808612
111	0.8880535689
112	0.8880479547
113	0.8816800655
114	0.8768345191
115	0.8718642774
116	0.8696278441
117	0.8677766905
118	0.8662586463
119	0.8657202792
120	0.8648020273
121	0.8647088158
122	0.8642873508
123	0.8642841227
124	0.8573198828
125	0.857317905
126	0.8555196376
127	0.8520335762
128	0.8509322865
129	0.8476920866
130	0.847459947
131	0.8427278855
132	0.841155342
133	0.8401515634
134	0.8361643953
135	0.8361164929
136	0.8354458026
137	0.8308955235
138	0.8276059573
139	0.8276041785
140	0.824780228
141	0.8247781823
142	0.8247765437
143	0.8218732731
144	0.8161988342
145	0.8161957992
146	0.8159865437
147	0.8134136945
148	0.8134118536
149	0.8098021197
150	0.8072269674
151	0.8066731559
152	0.8066701059
153	0.8054315797
154	0.8029029469
155	0.8027594674
156	0.802757725
157	0.7994512213
158	0.7987602592
159	0.7946477123
160	0.7942233847
161	0.7939388904
162	0.7912932911
163	0.7912920111
164	0.7892931377
165	0.7892921559
166	0.7892913655
167	0.789290729
168	0.7884716848
169	0.7870013534
170	0.7846206786
171	0.7829784892
172	0.779720049
173	0.7797181802
174	0.7754637272
175	0.7721788363
176	0.7692083473
177	0.7692060543
178	0.7690910039
179	0.7690894252
180	0.7688097796
181	0.7651510976
182	0.7645115867
183	0.7641646268
184	0.761685675
185	0.7616849149
186	0.7616843031
187	0.7610734818
188	0.7610069556
189	0.7571706529
190	0.7566170186
191	0.7566164067
192	0.7566011104
193	0.7566007138
194	0.7565105881
195	0.7517956334
196	0.7509626376
197	0.7500745565
198	0.7500741067
199	0.7500737448
200	0.7484561319
201	0.74845573
202	0.7471466202
203	0.7438081396
204	0.7437888661
205	0.7411572022
206	0.7400525763
207	0.7398252409
208	0.7397356133
209	0.7385615599
210	0.7385611919
211	0.7385608958
212	0.7381280829
213	0.7381278075
214	0.7372076112
215	0.7343472209
216	0.7323489098
217	0.7323350265
218	0.7321357217
219	0.7297894043
220	0.7275349488
221	0.7275343668
222	0.7253086917
223	0.7249814656
224	0.7249360222
225	0.7249353872
226	0.7249348705
227	0.7249142828
228	0.7233447623
229	0.7208210164
230	0.7206465795
231	0.7206460903
232	0.7206456975
233	0.7206453822
234	0.7203193704
235	0.7201431063
236	0.7191536151
237	0.7158402577
238	0.7157872643
239	0.714936062
240	0.7116740544
241	0.7116727023
242	0.7108240209
243	0.7102988086
244	0.7102506776
245	0.7074497449
246	0.7074486198
247	0.7073555022
248	0.7072985134
249	0.7063535704
250	0.7056048291
251	0.7047260398
252	0.7047251013
253	0.704436796
254	0.7044357295
255	0.7029054386
256	0.7001833558
257	0.699877745
258	0.6977999019
259	0.6977993715
260	0.6977676595
261	0.6949615638
262	0.6948105955
263	0.6939288581
264	0.693928422
265	0.69113216
266	0.690429842
267	0.6885854902
268	0.6848114779
269	0.6848102624
270	0.6822999383
271	0.6804931072
272	0.6804919858
273	0.6791596863
274	0.67915856
275	0.6791576434
276	0.6767200103
277	0.6755018286
278	0.6755004494
279	0.6754993151
280	0.673905709
281	0.672959542
282	0.6729590586
283	0.6727229977
284	0.6722184738
285	0.6722179935
286	0.6719448476
287	0.6718176685
288	0.6684685669
289	0.6677793316
290	0.6662467107
291	0.6662462203
292	0.6662131876
293	0.6662128351
294	0.6662125488
295	0.6632471469
296	0.6632468447
297	0.6631786856
298	0.6620201188
299	0.6611038096
300	0.6609802681
301	0.6609800801
302	0.6597300792
303	0.6595634128
304	0.6593560402
305	0.6593558053
306	0.6563856959
307	0.6552350852
308	0.6538431076
309	0.653811854
310	0.6520610791
311	0.6519973402
312	0.6519969598
313	0.6519429952
314	0.6517857037
315	0.6511864142
316	0.6485532198
317	0.6485527251
318	0.6481503074
319	0.6450133147
320	0.6450127898
321	0.645012369
322	0.6425107609
323	0.6406564278
324	0.6406557569
325	0.6400338475
326	0.6386364305
327	0.6375976085
328	0.6371279918
329	0.6340860063
330	0.6340269385
331	0.6337815178
332	0.6326885209
333	0.6326454868
334	0.6319311742
335	0.6319305005
336	0.6302614389
337	0.6294960143
338	0.6292091787
339	0.6257627306
340	0.6255662171
341	0.6255655424
342	0.6249138035
343	0.6249131837
344	0.6240360718
345	0.6227996483
346	0.6225701719
347	0.6225697261
348	0.62232321
349	0.6223229345
350	0.6187326316
351	0.6176833858
352	0.6168380107
353	0.6168374259
354	0.6168019448
355	0.6168015392
356	0.6150777344
357	0.6145496551
358	0.6145490804
359	0.6145222768
360	0.6136148183
361	0.6132400127
362	0.6127315341
363	0.6109276148
364	0.6109270215
365	0.6103115264
366	0.6103110584
367	0.6103106798
368	0.609979077
369	0.6086021504
370	0.6086015997
371	0.6084737563
372	0.6068391444
373	0.6056456167
374	0.6045688217
375	0.603929757
376	0.603404591
377	0.6034040662
378	0.6015505245
379	0.601549721
380	0.6014166636
381	0.601416131
382	0.6000693041
383	0.5999475737
384	0.5987519673
385	0.5987515369
386	0.5980784209
387	0.5973832863
388	0.5945715114
389	0.5927035521
390	0.5927023836
391	0.5923660867
392	0.5907137283
393	0.5889967705
394	0.5889958954
395	0.5883260292
396	0.5881756449
397	0.5866314912
398	0.5866303543
399	0.5866294372
400	0.5846926324
401	0.5846915663
402	0.5846907063
403	0.5846900125
404	0.5830575219
405	0.5826910607
406	0.5814719223
407	0.5810066654
408	0.5793413604
409	0.5779056121
410	0.5778012988
411	0.5775233456
412	0.577523001
413	0.5762026421
414	0.5745689859
415	0.5732936751
416	0.573293319
417	0.5725835197
418	0.5712199752
419	0.570521936
420	0.5705213205
421	0.570508557
422	0.5705081478
423	0.5690574288
424	0.5681742942
425	0.5681427547
426	0.5681423286
427	0.5681419853
428	0.5681417085
429	0.5681414855
430	0.5681413056
431	0.5681411606
432	0.5661406844
433	0.5659311776
434	0.5648357709
435	0.5641700228
436	0.563240084
437	0.5625384708
438	0.5624986149
439	0.5610473563
440	0.5610344933
441	0.5610340654
442	0.5606814511
443	0.5606599785
444	0.5606596944
445	0.5601564693
446	0.5601441089
447	0.5601030222
448	0.5600043335
449	0.5595754088
450	0.5591340677
451	0.5579492664
452	0.5574059081
453	0.5562153692
454	0.5560608646
455	0.5559261156
456	0.5556806627
457	0.5556659412
458	0.5542745778
459	0.5535346528
460	0.553182
461	0.5526823723
462	0.5526702502
463	0.5521982929
464	0.5521244011
465	0.5502527911
466	0.5502526143
467	0.5484717192
468	0.5475874063
469	0.5474141989
470	0.5472046274
471	0.5472042194
472	0.5469051829
473	0.5469047905
474	0.5461212055
475	0.5460847272
476	0.5454232426
477	0.544554865
478	0.5443975229
479	0.5443639494
480	0.5442868865
481	0.5439136361
482	0.5415568413
483	0.5415566457
484	0.5402460796
485	0.5402458589
486	0.5390415149
487	0.5390413007
488	0.5389725593
489	0.5389085996
490	0.5379237814
491	0.5354365295
492	0.5354194393
493	0.5354191055
494	0.5353504983
495	0.5348674549
496	0.5345971179
497	0.5345969376
498	0.5339890995
499	0.5339146525
500	0.533914358
501	0.5338463802
502	0.5338461285
503	0.5337186973
504	0.5321989104
505	0.5313484393
506	0.5312532695
507	0.5312530676
508	0.5307209972
509	0.5307208492
510	0.530720729
511	0.5307206314
512	0.5302038651
513	0.5302037475
514	0.5300292706
515	0.5300240068
516	0.5300239308
517	0.530023868
518	0.5297113229
519	0.5296970816
520	0.5296969765
521	0.529696891
522	0.5296658562
523	0.5280200113
524	0.528019914
525	0.5280198353
526	0.5271575523
527	0.5265419978
528	0.5246890067
529	0.5246887954
530	0.5227752638
531	0.5220937165
532	0.5220933662
533	0.5219160192
534	0.5217041783
535	0.5216165319
536	0.5213848549
537	0.5213845293
538	0.5204464052
539	0.5196464924
540	0.5180496785
541	0.5180450167
542	0.5162153462
543	0.5162147893
544	0.5160293466
545	0.515231722
546	0.5143560264
547	0.5139145647
548	0.5138718835
549	0.5133339523
550	0.5123264605
551	0.5123261532
552	0.5118396987
553	0.5112540754
554	0.5095233642
555	0.5089804482
556	0.5088507497
557	0.508850301
558	0.5088499345
559	0.5088496352
560	0.5088493904
561	0.5088078054
562	0.5087403933
563	0.5085010392
564	0.5084050055
565	0.5073859617
566	0.5072269286
567	0.5072265965
568	0.5070194716
569	0.5070044335
570	0.5056402753
571	0.5053718551
572	0.5053716601
573	0.5049655128
574	0.5049653157
575	0.5025882651
576	0.502515077
577	0.5025149592
578	0.5025148626
579	0.5025147832
580	0.5020115975
581	0.5019289412
582	0.5012044799
583	0.500727463
584	0.5006900377
585	0.4988738968
586	0.4986933688
587	0.4986670248
588	0.4986668501
589	0.498602637
590	0.4986024642
591	0.4986023251
592	0.4982339642
593	0.4982337963
594	0.4975395839
595	0.4975356271
596	0.4959535051
597	0.4957991136
598	0.4949081972
599	0.494907832
600	0.4949075362
601	0.494452889
602	0.494444614
603	0.4934905149
604	0.4922417209
605	0.4921764317
606	0.4921762036
607	0.4911908058
608	0.4911904939
609	0.4910961658
610	0.4908750789
611	0.4908748348
612	0.4908746374
613	0.4908744778
614	0.4906454666
615	0.4906453302
616	0.4897635288
617	0.4897432144
618	0.4894696328
619	0.4893578791
620	0.4886591698
621	0.4886589981
622	0.4878188863
623	0.4877652919
624	0.4876787388
625	0.4876785447
626	0.4873073759
627	0.4863786722
628	0.4863785599
629	0.4855786399
630	0.4854894971
631	0.4853532098
632	0.4836531737
633	0.4825849151
634	0.4825846461
635	0.4819143197
636	0.4819141388
637	0.4817258213
638	0.4809964722
639	0.480243575
640	0.4795995212
641	0.4794989261
642	0.479420171
643	0.4794199844
644	0.4794165153
645	0.4793989534
646	0.4784016547
647	0.4784014333
648	0.4783102753
649	0.4779241685
650	0.4779061843
651	0.4766876355
652	0.4760017958
653	0.4756173522
654	0.4747972358
655	0.4747849538
656	0.4747847382
657	0.4747845617
658	0.4747844171
659	0.4747669874
660	0.4747668929
661	0.4747160983
662	0.4739454519
663	0.4739453416
664	0.4727166076
665	0.4726773553
666	0.4726700456
667	0.4726699483
668	0.4726107219
669	0.4716875748
670	0.471675676
671	0.4709199503
672	0.4701412469
673	0.4700033345
674	0.4692850793
675	0.4679233737
676	0.4679232503
677	0.4666917415
678	0.4663147406
679	0.4654236121
680	0.4642170216
681	0.4641482913
682	0.464148153
683	0.4638535464
684	0.4638357706
685	0.463135284
686	0.463091056
687	0.4621036284
688	0.4609913647
689	0.4593677175
690	0.4579016599
691	0.457872909
692	0.4578286003
693	0.4576356442
694	0.4574758333
695	0.4574755816
696	0.4574498807
697	0.4559403549
698	0.4559402106
699	0.4549638488
