iter	Passed	Remaining
0	0	385
1	1	376
2	1	433
3	5	915
4	5	818
5	6	744
6	8	829
7	9	839
8	10	824
9	13	901
10	13	873
11	14	849
12	15	814
13	16	786
14	16	761
15	17	736
16	18	730
17	19	737
18	20	748
19	21	740
20	24	784
21	25	785
22	26	774
23	27	763
24	27	745
25	30	784
26	31	781
27	31	766
28	32	756
29	33	748
30	36	789
31	37	786
32	38	772
33	39	769
34	41	783
35	42	782
36	43	770
37	43	760
38	45	763
39	46	762
40	46	752
41	47	742
42	49	750
43	49	744
44	50	738
45	53	767
46	55	770
47	57	785
48	58	777
49	60	791
50	62	793
51	64	804
52	65	798
53	66	790
54	67	793
55	68	785
56	69	783
57	70	776
58	72	786
59	73	784
60	74	777
61	75	772
62	75	764
63	76	762
64	77	755
65	77	748
66	80	757
67	81	755
68	81	748
69	83	755
70	84	752
71	85	746
72	86	740
73	88	746
74	91	759
75	93	768
76	94	764
77	97	775
78	97	768
79	98	762
80	99	760
81	102	770
82	103	766
83	104	766
84	106	774
85	108	771
86	109	774
87	111	774
88	114	782
89	115	781
90	115	776
91	116	771
92	117	765
93	118	762
94	119	760
95	120	756
96	122	760
97	124	763
98	125	759
99	125	754
100	127	757
101	128	755
102	130	758
103	133	762
104	134	760
105	135	756
106	136	756
107	137	753
108	138	748
109	139	748
110	140	745
111	142	746
112	142	742
113	145	748
114	147	747
115	149	750
116	150	747
117	150	743
118	151	740
119	152	736
120	153	733
121	153	728
122	154	724
123	154	719
124	157	724
125	158	720
126	158	715
127	160	717
128	161	717
129	164	720
130	165	717
131	167	719
132	168	717
133	168	713
134	171	718
135	172	715
136	173	713
137	176	719
138	178	720
139	179	716
140	180	715
141	181	712
142	181	707
143	183	708
144	185	710
145	186	705
146	186	702
147	188	701
148	188	697
149	191	700
150	192	699
151	193	697
152	193	693
153	195	693
154	198	696
155	199	694
156	199	690
157	202	693
158	203	691
159	206	695
160	207	693
161	207	689
162	209	689
163	209	685
164	211	684
165	211	680
166	212	676
167	212	673
168	213	671
169	214	668
170	215	667
171	218	672
172	221	675
173	222	671
174	224	674
175	228	679
176	230	681
177	231	678
178	232	675
179	232	671
180	233	669
181	236	673
182	237	670
183	238	667
184	240	668
185	240	665
186	241	661
187	242	659
188	242	656
189	245	658
190	247	658
191	247	655
192	248	652
193	248	649
194	249	646
195	252	648
196	253	648
197	255	647
198	255	643
199	256	640
200	257	639
201	258	636
202	259	634
203	261	634
204	261	632
205	262	630
206	263	628
207	264	626
208	265	623
209	266	622
210	267	619
211	267	616
212	268	613
213	269	611
214	269	608
215	271	609
216	273	608
217	274	605
218	274	603
219	276	603
220	278	604
221	279	601
222	281	601
223	282	599
224	282	597
225	283	594
226	284	592
227	284	589
228	285	587
229	288	589
230	289	586
231	289	584
232	290	581
233	290	578
234	291	577
235	293	576
236	295	577
237	297	577
238	297	574
239	298	572
240	300	572
241	301	570
242	303	571
243	305	570
244	305	567
245	308	568
246	309	566
247	309	564
248	310	562
249	311	560
250	312	558
251	313	556
252	313	554
253	314	552
254	315	550
255	316	548
256	317	547
257	318	545
258	320	546
259	321	544
260	322	541
261	325	543
262	326	543
263	327	540
264	328	538
265	330	538
266	331	537
267	333	536
268	335	537
269	336	535
270	338	535
271	340	535
272	340	532
273	342	533
274	343	530
275	344	528
276	345	527
277	346	525
278	346	523
279	347	521
280	348	520
281	349	518
282	350	515
283	350	513
284	351	512
285	352	509
286	353	508
287	353	506
288	355	505
289	356	503
290	357	502
291	357	499
292	358	497
293	358	495
294	359	493
295	361	492
296	361	490
297	362	488
298	363	486
299	364	485
300	365	484
301	365	481
302	366	480
303	367	478
304	368	476
305	368	474
306	370	474
307	372	473
308	373	472
309	374	471
310	376	471
311	377	469
312	378	467
313	378	465
314	379	463
315	380	462
316	383	462
317	383	461
318	385	459
319	388	460
320	388	458
321	389	456
322	391	456
323	393	456
324	393	454
325	395	453
326	397	453
327	399	452
328	400	451
329	402	451
330	402	449
331	403	447
332	405	446
333	406	445
334	407	444
335	408	442
336	411	442
337	413	443
338	415	442
339	418	442
340	419	441
341	420	440
342	423	440
343	424	439
344	425	437
345	427	437
346	428	435
347	428	433
348	429	432
349	430	430
350	432	429
351	433	428
352	434	427
353	435	425
354	435	423
355	436	421
356	438	420
357	439	419
358	439	417
359	440	415
360	441	414
361	442	413
362	443	411
363	445	411
364	446	409
365	447	408
366	447	406
367	448	404
368	449	403
369	452	403
370	452	401
371	453	399
372	455	399
373	456	398
374	459	398
375	461	397
376	462	396
377	462	394
378	464	393
379	465	391
380	465	390
381	466	388
382	467	387
383	468	385
384	469	384
385	469	382
386	471	381
387	473	380
388	475	380
389	477	379
390	478	378
391	479	376
392	481	376
393	483	375
394	484	373
395	485	372
396	486	371
397	489	371
398	490	369
399	490	368
400	492	367
401	493	366
402	494	364
403	495	362
404	497	362
405	498	360
406	500	360
407	500	358
408	502	357
409	504	357
410	505	355
411	507	354
412	508	353
413	509	352
414	512	351
415	514	351
416	514	349
417	517	348
418	519	348
419	520	346
420	521	345
421	521	343
422	522	342
423	524	341
424	525	339
425	525	338
426	526	336
427	526	334
428	527	333
429	527	331
430	528	329
431	529	328
432	531	327
433	532	326
434	534	325
435	535	324
436	537	323
437	538	322
438	539	320
439	541	319
440	542	318
441	542	316
442	543	315
443	544	313
444	545	312
445	545	310
446	546	309
447	547	307
448	547	306
449	548	304
450	549	303
451	552	303
452	555	302
453	558	302
454	559	301
455	560	299
456	561	298
457	561	296
458	563	295
459	565	294
460	565	293
461	567	292
462	568	291
463	570	290
464	571	288
465	574	288
466	574	286
467	577	286
468	580	285
469	581	284
470	582	283
471	583	281
472	583	280
473	584	278
474	585	277
475	586	275
476	588	274
477	590	274
478	591	272
479	592	271
480	592	269
481	593	268
482	596	267
483	597	266
484	599	265
485	600	264
486	602	263
487	603	261
488	603	260
489	604	259
490	606	258
491	609	257
492	610	256
493	610	254
494	611	253
495	612	251
496	613	250
497	614	249
498	614	247
499	615	246
500	616	244
501	616	243
502	617	241
503	618	240
504	621	239
505	623	238
506	623	237
507	624	236
508	626	235
509	627	233
510	627	232
511	628	230
512	629	229
513	629	227
514	630	226
515	631	225
516	631	223
517	632	222
518	633	221
519	634	219
520	635	218
521	635	216
522	636	215
523	639	214
524	640	213
525	640	211
526	641	210
527	643	209
528	645	208
529	646	207
530	648	206
531	649	205
532	649	203
533	650	202
534	651	201
535	653	199
536	653	198
537	654	197
538	657	196
539	660	195
540	663	194
541	664	193
542	667	192
543	668	191
544	669	190
545	670	189
546	672	188
547	674	186
548	675	185
549	676	184
550	679	183
551	680	182
552	683	181
553	685	180
554	688	179
555	690	178
556	691	177
557	691	175
558	692	174
559	692	173
560	693	171
561	693	170
562	694	168
563	696	167
564	697	166
565	700	165
566	701	164
567	702	163
568	703	161
569	703	160
570	705	159
571	706	158
572	706	156
573	707	155
574	708	153
575	710	153
576	711	151
577	712	150
578	713	149
579	713	147
580	716	146
581	716	145
582	718	144
