car_id,target_class
I-1144396V,engine_overheat
q13819346b,electro_bug
O-1088987d,wheel_shake
A-2091756g,break_bug
k15500468M,electro_bug
b-8173252P,engine_overheat
t-1101328j,gear_stick
r22877602B,gear_stick
f18117990q,engine_check
D70075253J,break_bug
m42770139Y,break_bug
b-7000625F,engine_check
n44548974J,engine_overheat
A-2944345f,engine_overheat
q-9464619m,engine_ignition
i-1844852z,wheel_shake
d-9264153W,another_bug
x-1073863u,wheel_shake
j11733650V,engine_check
Y21460413s,engine_overheat
e50267468G,engine_overheat
T12315854s,engine_overheat
S21023699D,engine_fuel
g14167513p,electro_bug
P-7272085i,engine_overheat
w-9046173p,engine_ignition
N13645631g,another_bug
d12510158m,engine_check
i41972803T,another_bug
X16978643m,gear_stick
v18074055j,another_bug
k83047082a,engine_check
n65468149f,engine_fuel
P11584247P,another_bug
U-1561345X,break_bug
j-4855905S,another_bug
S-1859974s,electro_bug
z13240028f,engine_fuel
O-5123764z,break_bug
k-2103148D,engine_fuel
Y85655975G,break_bug
i22687255S,another_bug
z57380739G,engine_fuel
D38103659M,another_bug
f96528797Q,wheel_shake
f11248043m,another_bug
r12262900H,break_bug
q-2040684x,another_bug
W-1379693E,engine_ignition
t95346141l,electro_bug
Z21731330N,electro_bug
o-4696240E,electro_bug
K-7389312F,engine_fuel
S14089608j,wheel_shake
f-1402604Y,engine_check
L-1287957c,engine_overheat
V12115540t,engine_overheat
G17011151S,another_bug
a-1346871x,engine_overheat
T85655105K,electro_bug
S-1165625A,engine_check
N-1350330R,electro_bug
P15525294I,engine_check
I-1793264F,engine_ignition
z-1502538e,engine_fuel
U53130609l,engine_ignition
I-9069619f,another_bug
F-1882899F,another_bug
P-1304830I,engine_ignition
U18986159F,break_bug
Y20219330u,engine_check
s22418514X,engine_check
E17492322n,engine_check
u-2043839j,break_bug
b18647136h,engine_check
T87790593E,another_bug
u-2145681U,electro_bug
A21549504q,another_bug
O21153088X,another_bug
Q-1781202F,wheel_shake
n-3382887j,gear_stick
o-3638944V,engine_overheat
X13329591R,engine_check
o-6371920C,break_bug
S26862032W,gear_stick
c42356692Q,engine_fuel
a-1725720U,break_bug
j12799843b,engine_fuel
p-6059385f,gear_stick
l54342978c,another_bug
A58987152J,engine_fuel
h-2184494z,another_bug
D42582088I,gear_stick
P86690541b,engine_fuel
e50309519A,another_bug
l-6100602E,gear_stick
y10008175H,electro_bug
