car_id,target_2
v-1144396k,break_bug
b13819346G,break_bug
z-1088987H,electro_bug
K-2091756f,engine_check
k15500468F,engine_overheat
z-8173252R,engine_check
n-1101328J,engine_check
u22877602M,gear_stick
Z70075253s,engine_check
k42770139y,gear_stick
I-7000625d,electro_bug
P50548773h,engine_overheat
v44548974Z,engine_check
m-1844852f,engine_fuel
H-9264153U,engine_ignition
n57547367n,wheel_shake
g-1073863c,engine_ignition
E24085349I,another_bug
l-1294820h,break_bug
p21460413l,engine_fuel
k50267468W,engine_check
z10636869d,engine_overheat
y12315854e,gear_stick
x21023699P,engine_ignition
x14167513R,engine_fuel
O-9046173T,engine_fuel
Q13645631a,electro_bug
A12510158A,another_bug
u41972803V,electro_bug
G16978643T,break_bug
K18195568h,wheel_shake
b18074055q,engine_overheat
S11584247k,another_bug
O-1561345Z,wheel_shake
L-4855905y,another_bug
C-1859974Y,break_bug
h-1893997b,engine_check
L-1443299f,engine_ignition
f13240028e,gear_stick
p-5123764A,engine_ignition
M-2103148Q,break_bug
C22687255W,engine_overheat
B38103659x,engine_ignition
Q96528797Q,electro_bug
m11248043Y,engine_ignition
P-1578006l,engine_ignition
w12262900N,electro_bug
D-2040684W,engine_ignition
w-1379693n,engine_overheat
S95346141R,break_bug
w72809010Z,another_bug
b21731330D,engine_fuel
d-7389312N,engine_ignition
Z14089608E,wheel_shake
X15278156o,another_bug
L17290420U,another_bug
k-1402604E,engine_overheat
V-1287957H,electro_bug
F-1071951c,break_bug
t12115540e,engine_ignition
U17011151c,wheel_shake
e-1346871S,engine_ignition
M85655105F,engine_ignition
a-1350330u,electro_bug
p61534081A,engine_fuel
r-1802951U,another_bug
V-1462727o,engine_overheat
Z53130609s,electro_bug
O-1719763e,engine_ignition
l14828435D,another_bug
A18986159Q,another_bug
L43850500U,engine_fuel
d-1752148D,another_bug
a17492322b,break_bug
E-5365034H,engine_check
K18647136I,wheel_shake
r87790593l,another_bug
r-2145681U,engine_check
N21549504S,engine_check
C21153088b,engine_fuel
C13329591i,electro_bug
c19190549B,another_bug
c-7218950C,engine_check
M80011314S,engine_check
r17270328g,engine_fuel
P26862032y,another_bug
r-1420423L,engine_ignition
d-6059385g,wheel_shake
O46277827S,engine_check
K-1046480R,gear_stick
L-4419208s,another_bug
N-2786065T,engine_ignition
d54342978l,break_bug
C58987152s,break_bug
Q-2184494X,engine_overheat
c96735434W,another_bug
p42582088t,electro_bug
