car_id,target_class
P17494612l,engine_overheat
N-1530212S,electro_bug
B-1154399t,wheel_shake
F12725233R,break_bug
l-1139189J,electro_bug
U75286923j,engine_overheat
T-7479831o,gear_stick
B-1369793u,gear_stick
Y-1289786X,engine_check
C29045893T,gear_stick
v-1730983R,break_bug
I20727212Q,engine_check
p48812438h,engine_overheat
T-2633971l,engine_ignition
V-9683916q,engine_ignition
P68488505Z,wheel_shake
W23907639f,another_bug
A22674788w,wheel_shake
y-1252277z,engine_check
u21168983D,engine_fuel
x12753662A,engine_overheat
v-7435255a,engine_overheat
E12421362P,engine_fuel
J35738918W,electro_bug
T16973122B,engine_ignition
p-5671458M,engine_ignition
I68086031c,another_bug
D69722395r,engine_check
X10967418c,another_bug
q-1489273f,gear_stick
C-1903701S,engine_check
r11820515d,engine_check
x12397432S,engine_fuel
Q50389908q,engine_check
B18597537S,break_bug
S-9537522o,another_bug
a10623296X,electro_bug
R28123139u,engine_fuel
h-1451730v,break_bug
d-1257449w,engine_fuel
N11419190t,break_bug
k63904133P,another_bug
J92413639E,engine_fuel
b-3875784F,another_bug
f15183722K,wheel_shake
c-1874297z,another_bug
E16971328N,break_bug
H18110876A,another_bug
P-1301418D,engine_ignition
b-9697936F,electro_bug
H-4258275m,electro_bug
H10655858l,electro_bug
w-1481290E,engine_fuel
C40885722w,wheel_shake
f15625319Q,engine_check
B42019578p,engine_overheat
T65731704H,engine_overheat
e30424190o,another_bug
w-1081221i,engine_overheat
E48110445u,electro_bug
u73256394H,engine_check
m17237645h,electro_bug
q-1403429B,engine_check
E-1889080W,engine_ignition
b-1781291I,engine_fuel
P77959737c,engine_ignition
h17474551u,another_bug
d17705773B,another_bug
s-2080909j,engine_ignition
N18448941g,break_bug
P17953716g,engine_check
i94781425U,wheel_shake
L-2155385D,engine_check
Q21449479D,break_bug
z-1790906x,engine_check
C-4338027c,another_bug
F13621020y,electro_bug
P-1981563m,another_bug
B20284663C,another_bug
X-5672837D,wheel_shake
f-8313064a,gear_stick
S16867324D,engine_overheat
l81011564d,engine_check
T-7878324V,gear_stick
X49290901c,break_bug
N15373595s,engine_fuel
g-1912309G,break_bug
G23848056z,engine_fuel
w-3530598y,gear_stick
s-4092655x,another_bug
v60921451s,engine_fuel
A-5309696c,another_bug
a21437857o,gear_stick
r-2049651S,engine_fuel
c48174687o,another_bug
n57986901A,gear_stick
J43552505w,electro_bug
X69815445k,engine_overheat
Y31463755z,engine_check
C-1846243L,electro_bug
z10378875g,break_bug
B-1843237q,electro_bug
I-8201538D,gear_stick
k-7853395L,engine_check
H-3154020d,engine_fuel
v11532085a,engine_fuel
o-1004837T,engine_ignition
E15850759P,another_bug
S11046237d,gear_stick
i19615927E,wheel_shake
h24674210l,wheel_shake
j-1003273K,another_bug
i18120580r,engine_fuel
t35781257E,engine_ignition
S-7977049s,engine_fuel
H10411834F,engine_ignition
o29701218V,electro_bug
E-1304820y,gear_stick
V56226787D,engine_fuel
I-9571675o,electro_bug
a-1832317K,break_bug
H-9271579x,engine_check
H15689477U,another_bug
J-8699353u,electro_bug
S-6497022N,break_bug
g11521087z,engine_overheat
Q-1114187O,wheel_shake
a-1510716r,electro_bug
G12673775u,another_bug
V-1604890W,break_bug
o-8858693p,gear_stick
F84870593a,break_bug
j17532274g,engine_check
l-1283385g,gear_stick
s-2062095H,gear_stick
X13157100E,gear_stick
h-2273764e,engine_fuel
B-2140476J,engine_overheat
p-8263041e,engine_fuel
Y-1681893d,engine_ignition
w-1017091K,wheel_shake
M-1236720D,engine_overheat
I-7194770x,electro_bug
m13987388S,gear_stick
w17315089Z,break_bug
f-1380237E,electro_bug
P10499796W,engine_fuel
l-1844181l,engine_check
g13957568L,engine_overheat
R-5598576l,engine_ignition
n59321309Q,gear_stick
R-1193631X,gear_stick
y-2178923H,electro_bug
m73284992F,wheel_shake
Z-2537370X,another_bug
t17276860j,engine_ignition
y33047270r,gear_stick
b-9079908N,another_bug
q92579907V,engine_overheat
